"school_name","canopy_id","nces_school_id","nces_school_type"
"Utah Career Path High School",542,490017101460,"Public charter school"
"Milton Senior High School",543,500561000125,"Public district school"
"Rogers New Technology High School",547,51197001586,"Public charter school"
"Phoenix Modern",549,40099003649,"Public charter school"
"Gowan Science Academy",550,40240003323,"Public district school"
"Tanque Verde High School",551,40828002550,"Public district school"
"Arabia Mountain High School - Academy of Engineering- Medic",552,130174003915,"Public district school"
"Ivy Academy Inc.",554,470159002220,"Public charter school"
"Grayson High School",555,130255002387,"Public district school"
"IDEA Frontier College Preparatory",556,480021111952,"Public charter school"
"Young Women's Preparatory Academy",558,120039007016,"Public district school"
"Holladay Intermediate Magnet School",559,40880000851,"Public district school"
"Veterans Memorial Early College H S",560,481168012029,"Public district school"
"Valle Verde Early College H S",561,484668011982,"Public district school"
"Salem Academy Charter School",562,250008401847,"Public charter school"
"Jimmy Carter Early College High School",563,482613010825,"Public district school"
"Phillips Academy",564,603199,NA
"[Non-Operating School] RISE Academy",565,530807002355,"Public district school"
"Swiftwater Alternative High School",568,530135002987,"Public district school"
"Two Rivers School",570,530804002158,"Public district school"
"Dayspring Academy",575,120153004426,"Public charter school"
"Chautauqua Charter School",579,120009005431,"Public charter school"
"Vimenti School",581,720003001945,"Public charter school"
"White River Valley Middle School",583,500042600545,"Public district school"
"Coquillard Elementary School",584,181029001644,"Public district school"
"Beta Academy",585,480144613188,"Public charter school"
"Foundation School of Autism - San Antonio",586,480020713927,"Public charter school"
"Asu Preparatory Academy Digital",587,40096503556,"Public charter school"
"Personalized Learning Preparatory at Sam Houston",589,481623001283,"Public district school"
"CityLab High School",591,481623013553,"Public district school"
"A Vito Martinez Middle School",594,174007004037,"Public district school"
"The Williamsburg High School of Art and Technology",595,360011905896,"Public district school"
"Kennelly School",596,90192000368,"Public district school"
"School 9 - Dr. Martin Luther King Jr.",597,362475003384,"Public district school"
"The Exploris School",598,370004302358,"Public charter school"
"Coatimundi Middle School",600,40752002768,"Public district school"
"New Harmony High Institute",601,220030402457,"Public charter school"
"Highlander Elementary Charter",602,440003100524,"Public charter school"
"360 High School",603,440090000492,NA
"Samuel Everett School of Innovation",611,470030002557,"Public district school"
"Gary Middle College",614,180010202535,"Public charter school"
"Katahdin Middle/High School",616,231483800397,"Public district school"
"Vista Innovation and Design Academy",619,64119006825,"Public district school"
"Da Vinci Connect TK-8",621,60229313702,"Public charter school"
"Georgia Fugees Academy Charter School",622,130026304378,"Public charter school"
"Dallas Hybrid Preparatory at Stephen J. Hay",623,481623014139,"Public district school"
"Lumen High School",625,530035003770,"Public charter school"
"Magic City Acceptance Academy",626,10021102505,"Public charter school"
"Phoenix International Academy",627,40097503596,"Public charter school"
"Rainier Valley Leadership Academy",628,530034203602,"Public charter school"
"Brooklyn International High School",629,360009101371,"Public district school"
